year_of_construction;pricePerSquareM
1989;5941.162499999999
1990;5941.162499999999
1991;5941.162499999999
1992;5941.162499999999
1993;5941.162499999999
1994;5941.162499999999
1995;5941.162499999999
1996;5941.162499999999
1997;5941.162499999999
1998;5941.162499999999
1999;5941.162499999999
2000;5941.162499999999
2001;5941.162499999999
2002;5941.162499999999
2003;5941.162499999999
2004;5941.162499999999
2005;5941.162499999999
2006;5941.162499999999
2007;5941.162499999999
2008;5941.162499999999
2009;5941.162499999999
2010;5941.162499999999
2011;5941.162499999999
2012;5941.162499999999
